segment_id,drifter_id,start_time_utc,end_time_utc,month_key,recipe,validity_flag,status_flag,hard_fail,hard_fail_reason,invalidity_reason,ncs_score,actual_current_reader,actual_wind_reader,actual_wave_reader,wave_loading_status,current_fallback_used,wind_fallback_used,wave_fallback_used,recipe_family,is_gfs_recipe
300234063250950_20170202T120000Z_20170205T120000Z,300234063250950,2017-02-02T12:00:00+00:00,2017-02-05T12:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,5.202894565284957,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250950_20170202T120000Z_20170205T120000Z,300234063250950,2017-02-02T12:00:00+00:00,2017-02-05T12:00:00+00:00,201702,hycom_era5,valid,valid,False,,,3.4430663245734725,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250950_20170202T120000Z_20170205T120000Z,300234063250950,2017-02-02T12:00:00+00:00,2017-02-05T12:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,3.449555784370755,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250950_20170205T180000Z_20170208T180000Z,300234063250950,2017-02-05T18:00:00+00:00,2017-02-08T18:00:00+00:00,201702,cmems_era5,valid,valid,False,,,5.006900770862335,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250950_20170205T180000Z_20170208T180000Z,300234063250950,2017-02-05T18:00:00+00:00,2017-02-08T18:00:00+00:00,201702,cmems_gfs,valid,valid,False,,,5.028709612432082,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063250950_20170205T180000Z_20170208T180000Z,300234063250950,2017-02-05T18:00:00+00:00,2017-02-08T18:00:00+00:00,201702,hycom_era5,valid,valid,False,,,4.463114045319881,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063250950_20170205T180000Z_20170208T180000Z,300234063250950,2017-02-05T18:00:00+00:00,2017-02-08T18:00:00+00:00,201702,hycom_gfs,valid,valid,False,,,4.49094062862436,Reader<hycom_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063253730_20170705T120000Z_20170708T120000Z,300234063253730,2017-07-05T12:00:00+00:00,2017-07-08T12:00:00+00:00,201707,cmems_era5,valid,valid,False,,,6.297163202440266,Reader<cmems_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
300234063253730_20170705T120000Z_20170708T120000Z,300234063253730,2017-07-05T12:00:00+00:00,2017-07-08T12:00:00+00:00,201707,cmems_gfs,valid,valid,False,,,6.307094535233465,Reader<cmems_curr.nc>,Reader<gfs_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,True
300234063253730_20170705T120000Z_20170708T120000Z,300234063253730,2017-07-05T12:00:00+00:00,2017-07-08T12:00:00+00:00,201707,hycom_era5,valid,valid,False,,,5.056947199171204,Reader<hycom_curr.nc>,Reader<era5_wind.nc>,Reader<cmems_wave.nc>,loaded,False,False,False,official_phase1_production,False
