segment_id,segment_status,rejection_reason,drifter_id,start_time_utc,end_time_utc,month_key,expected_observation_count,actual_observation_count,coverage_complete,coverage_gap_detected,start_point_in_validation_box,window_points_within_validation_box,regional_box_status,non_overlap_status,drogue_status_complete,drogue_attached_through_window,drogue_lost_date_start_row,deploy_date_start_row,start_lat,start_lon,end_lat,end_lon,ve_start,vn_start,err_lat_start,err_lon_start,DrogueType,DrogueLength,DrogueDetectSensor
300234063895740_20170112T060000Z_20170115T060000Z,accepted,,300234063895740,2017-01-12T06:00:00+00:00,2017-01-15T06:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,16.015,122.903,16.114,122.411,-0.18598,0.1664,,,HOLY230,6.6 m,tether strain
300234063895740_20170115T120000Z_20170118T120000Z,accepted,,300234063895740,2017-01-15T12:00:00+00:00,2017-01-18T12:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,16.091,122.395,15.854,122.217,-0.16805,-0.11759,,,HOLY230,6.6 m,tether strain
300234063895740_20170118T180000Z_20170121T180000Z,accepted,,300234063895740,2017-01-18T18:00:00+00:00,2017-01-21T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.831,122.222,15.487,121.814,-0.04798,-0.17095,,,HOLY230,6.6 m,tether strain
300234063895740_20170122T000000Z_20170125T000000Z,accepted,,300234063895740,2017-01-22T00:00:00+00:00,2017-01-25T00:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-28T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.479,121.797,15.34,121.529,-0.14168,-0.0802,,,HOLY230,6.6 m,tether strain
300234063895910_20161231T120000Z_20170103T120000Z,accepted,,300234063895910,2016-12-31T12:00:00+00:00,2017-01-03T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-01-13T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.79,124.491,15.927,123.794,-0.2246,0.00175,,,HOLY230,6.6 m,tether strain
300234063895910_20170103T180000Z_20170106T180000Z,accepted,,300234063895910,2017-01-03T18:00:00+00:00,2017-01-06T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-13T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.94,123.757,16.161,123.028,-0.21431,0.02717,,,HOLY230,6.6 m,tether strain
300234063895910_20170107T000000Z_20170110T000000Z,accepted,,300234063895910,2017-01-07T00:00:00+00:00,2017-01-10T00:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-13T00:00:00+00:00,2016-10-23T00:00:00+00:00,16.199,122.988,16.424,122.529,-0.16753,0.13543,,,HOLY230,6.6 m,tether strain
300234063895920_20161228T060000Z_20161231T060000Z,accepted,,300234063895920,2016-12-28T06:00:00+00:00,2016-12-31T06:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-01-25T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.45,124.479,15.317,123.979,-0.33758,-0.14561,,,HOLY230,6.6 m,tether strain
300234063895920_20161231T120000Z_20170103T120000Z,accepted,,300234063895920,2016-12-31T12:00:00+00:00,2017-01-03T12:00:00+00:00,201612,13,13,True,False,True,True,inside,accepted,True,True,2017-01-25T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.284,123.936,15.303,123.584,-0.1551,-0.04183,,,HOLY230,6.6 m,tether strain
300234063895920_20170103T180000Z_20170106T180000Z,accepted,,300234063895920,2017-01-03T18:00:00+00:00,2017-01-06T18:00:00+00:00,201701,13,13,True,False,True,True,inside,accepted,True,True,2017-01-25T00:00:00+00:00,2016-10-23T00:00:00+00:00,15.349,123.572,15.51,123.398,-0.08811,0.09119,,,HOLY230,6.6 m,tether strain
